year,indicator_code,indicator_name,value,country_name
2015,SL.TLF.CACT.ZS,labor_force_participation_rate,77.43,Viet Nam
2014,SL.TLF.CACT.ZS,labor_force_participation_rate,77.306,Viet Nam
2013,SL.TLF.CACT.ZS,labor_force_participation_rate,77.234,Viet Nam
2024,TX.VAL.AGRI.ZS.UN,agricultural_raw_materials_exports_pct,2.596023669,Cambodia
2023,TX.VAL.AGRI.ZS.UN,agricultural_raw_materials_exports_pct,2.352918844,Cambodia
2022,TX.VAL.AGRI.ZS.UN,agricultural_raw_materials_exports_pct,2.167538908,Cambodia
2021,TX.VAL.AGRI.ZS.UN,agricultural_raw_materials_exports_pct,2.647438708,Cambodia
2020,TX.VAL.AGRI.ZS.UN,agricultural_raw_materials_exports_pct,1.729230804,Cambodia
2019,TX.VAL.AGRI.ZS.UN,agricultural_raw_materials_exports_pct,1.685827438,Cambodia
2018,TX.VAL.AGRI.ZS.UN,agricultural_raw_materials_exports_pct,2.207479049,Cambodia
