country_name,year,agricultural_raw_materials_exports_pct,birth_rate_crude,debt_service_ppg_imf_pct_exports,exports_goods_services_current_usd,exports_to_china,external_debt_stocks_pct_gni,food_exports_pct,fuel_exports_pct,gdp_current_usd,gdp_growth_annual_pct,gdp_per_capita_current_usd,imports_from_china,imports_goods_services_current_usd,labor_force_participation_rate,ores_metals_exports_pct,population_growth_annual_pct,population_total,port_container_throughput,realised_fdi_from_china,log_gdp_current_usd,log_population_total,log_gdp_per_capita_current_usd,log_port_container_throughput,exports_to_china_usd,imports_from_china_usd,china_export_share,china_import_share,china_total_trade_share,china_trade_balance_ratio,development_index,market_size_index,growth_demographic_index,debt_vulnerability_index,commodity_export_index,china_exposure_index_no_teu,china_exposure_index_with_teu
Malaysia,2015,1.845001685,16.336,0.0,210000000000.0,5327733.1,0.0,10.83439658,16.46374629,301000000000.0,5.091532422,9648.679794,4398038.7,187000000000.0,65.185,3.925235484,1.733194456,31232798.0,24012959.0,48048.0,26.430376101695288,17.256979318585756,9.174576376061921,16.994104200920507,53277331000.0,43980387000.0,0.2537015761904762,0.23518923529411764,0.24498165743073047,0.09559080956433709,1.6809719426717558,0.03352230258492729,0.5539073643619409,-1.4258993955663328,-0.22952177749845926,0.10845078710159828,0.7472032924870525
Malaysia,2016,1.936988491,15.789,0.0,201000000000.0,4926963.7,0.0,11.54855551,14.00259524,301000000000.0,4.449781398,9476.534098,3767177.5,181000000000.0,65.09,3.854242852,1.767310548,31789685.0,24569452.0,22113.0,26.430376101695288,17.27465242406155,9.15657392692376,17.01701444062633,49269637000.0,37671775000.0,0.2451225721393035,0.20813135359116022,0.22759531937172775,0.13339859260624845,1.6476798584241272,0.041640482175318606,0.488189075582394,-1.4258993955663328,-0.2649784504617949,-0.13272775722476923,0.6082988635906451
Malaysia,2017,2.126963688,15.329,0.0,224000000000.0,5442613.9,0.0,11.02809025,15.4036826,319000000000.0,5.81272241,9862.548066,4171227.7,202000000000.0,65.202,3.947781085,1.76466064,32355644.0,23719787.0,10836.0,26.488456939731257,17.292299030463333,9.196499838754422,16.98182015228957,54426139000.0,41712277000.0,0.24297383482142856,0.20649642079207922,0.22567703286384977,0.13224538669328606,1.7215151910574051,0.07137739505849221,0.6732474695429677,-1.4258993955663328,-0.2014624506417084,-0.15633115367662453,0.5746206256031898
Malaysia,2018,1.682455373,14.808,0.0,246000000000.0,6320504.6,0.0,9.090188089,15.67076642,359000000000.0,4.843086976,10901.802,4537598.7,222000000000.0,65.574,4.266519046,1.701747319,32910967.0,24955994.0,21162.0,26.60658822543469,17.309316503654056,9.296683375654125,17.03262459178964,63205046000.0,45375987000.0,0.256931081300813,0.20439633783783784,0.23201075427350426,0.16420049162729922,1.9067854687342516,0.12318975686770846,0.5180004128238365,-1.4258993955663328,-0.3671249374848748,-0.09405316140569735,0.6611359438743418
Malaysia,2019,1.699092496,14.233,0.0,238000000000.0,7190997.5137,0.0,9.268297007,14.43927765,365000000000.0,4.413187421,10920.19176,5214178.1876,211000000000.0,65.871,3.86055943,1.596466533,33440596.0,26215322.0,7013.0,26.623163190528903,17.325281168988454,9.298368809584273,17.081854606957393,71909975137.0,52141781876.0,0.30214275267647056,0.2471174496492891,0.2762845367772829,0.15935439962312176,1.9099023562180433,0.1366961348148751,0.40038922966474844,-1.4258993955663328,-0.41129230451964033,0.46213812855479713,1.0815098556971678
Malaysia,2020,1.564481941,13.393,0.0,208000000000.0,7517442.1604,0.0,10.07283729,11.38568064,337000000000.0,-5.456846584,9957.526267,5630131.4831,187000000000.0,65.473,3.502939746,1.333633231,33889558.0,26669483.0,7810.0,26.543348767298774,17.338617501302846,9.206083952963443,17.09903051089344,75174421604.0,56301314831.0,0.3614154884807692,0.3010765498983957,0.33284996565822783,0.14354821113575306,1.7392391760128338,0.11309711604012294,-1.1209737396295048,-1.4258993955663328,-0.5165388607174632,1.1766462017094974,1.602633211338864
Malaysia,2021,1.433594015,12.385,0.0,264000000000.0,9830508.0,0.0,10.79008481,12.44741033,374000000000.0,3.315349544,10903.10375,7865488.0,237000000000.0,65.619,4.718026008,1.152513044,34282399.0,28261849.0,5770.0,26.647521634360942,17.350142631742276,9.296802775390724,17.157023361247347,98305080000.0,78654880000.0,0.37236772727272727,0.33187713080168774,0.35321349301397204,0.11104319869873389,1.9070062756955433,0.15718805819954093,-0.07655504533226856,-1.4258993955663328,-0.4300964338833201,1.4577574122014485,1.8058126120904936
Malaysia,2022,1.193417928,12.394,0.0,313000000000.0,10983860.0,0.0,10.58831499,17.08107931,408000000000.0,9.03173723,11754.56783,9171921.0,284000000000.0,66.223,3.945766918,1.197772001,34695493.0,27293935.0,112697.0,26.734533011350575,17.362120351755113,9.371997195517384,17.122175074301577,109838600000.0,91719210000.0,0.3509220447284345,0.32295496478873237,0.33761777219430483,0.08989673979886961,2.046063964490888,0.19509548622584288,0.7468008103810506,-1.4258993955663328,-0.34695555672271844,1.275112333996717,1.645427654954484
Malaysia,2023,1.178172158,12.412,0.0,274000000000.0,10292983.0,0.0,9.541790496,16.51216338,400000000000.0,3.537063804,11386.03956,8736913.0,254000000000.0,66.178,3.790461848,1.234028692,35126298.0,,21069.0,26.714730384054395,17.374460638672065,9.340143283947288,,102929830000.0,87369130000.0,0.37565631386861315,0.3439729527559055,0.36041469696969697,0.08176975848948413,1.9871562514642094,0.19338897949174233,0.03963272636119,-1.4258993955663328,-0.4279924815209229,1.5625454702376267,1.239446073907716
Malaysia,2024,1.253654191,12.362,0.0,302000000000.0,11055038.0,0.0,10.21935408,14.40331582,422000000000.0,5.10545921,11874.42737,10145677.0,279000000000.0,66.107,3.696829991,1.22058891,35557673.0,,28298.0,26.76827115098242,17.38666652777361,9.382142406266466,,110550380000.0,101456770000.0,0.36606086092715234,0.3636443369175627,0.36490043029259894,0.04289294016734813,2.0648255901106167,0.21893583932706165,0.2350300083933279,-1.4258993955663328,-0.45673074679719067,1.6501893043282898,1.267448539359078
Philippines,2013,0.987227611,24.56,7.163581668,67847557124.0,1818181.0,24.1818488,10.42168439,3.766912716,284000000000.0,6.750531301,2781.279577,1986812.5,78494762234.0,61.446,6.114047727,1.879715797,102076336.0,5955137.0,6726.0,26.372240075107616,18.441231483499642,7.930666380284971,15.59976476638432,18181810000.0,19868125000.0,0.26798031897847757,0.253114022318729,0.26000636840337155,-0.044318472554552325,-0.6194015264075138,0.5558596609715251,0.6904522586084805,-0.2712486020910658,-0.8006662301004025,0.3158322908216846,0.24305934797314355
Philippines,2014,1.035727614,23.404,6.124713779,75321793859.0,2098413.2158,23.72074817,10.20537682,2.972819975,297000000000.0,6.347987483,2866.838038,2347357.7223,88075721020.0,62.171,6.588340242,1.642832838,103767130.0,6216752.0,9707.0,26.416997975749112,18.45765981187992,7.960964972484369,15.642758141833335,20984132158.0,23473577223.0,0.2785931014505792,0.26651586783683195,0.27208314284291324,-0.055995801395559985,-0.5633700788891474,0.5800751259112582,0.5038146783491431,-0.3746990505131811,-0.8154744963617565,0.47053637918173136,0.3695157902080564
Philippines,2015,0.948387367,22.933,6.830191328,72262154549.0,1896565.4,23.34001823,7.731460713,1.320696086,306000000000.0,6.348309717,2909.85818,2667079.1,90116539579.0,61.405,5.061376731,1.478753843,105312992.0,7175424.0,3867.0,26.44685093889879,18.47244735031013,7.975859623582742,15.786172411940628,18965654000.0,26670791000.0,0.26245624861821193,0.29595888972877443,0.28104946430980454,-0.16883736233179425,-0.5358252723241936,0.5979858806696889,0.347519613650329,-0.3190269372257061,-1.0643058125963876,0.5918855214152376,0.4689294502777468
Philippines,2016,0.83695681,21.76,7.798448709,73938028405.0,1739589.1,21.26389274,8.357741575,1.3324938,319000000000.0,7.14945675,2985.19564,2984266.6,102000000000.0,61.59,4.00252117,1.341907095,106735719.0,7560607.0,7760.0,26.488456939731257,18.4858664212642,8.001420564717508,15.838462035937857,17395891000.0,29842666000.0,0.23527664146943383,0.2925751568627451,0.2684954323306349,-0.2634876209279636,-0.4885552037253908,0.6196451822353267,0.36536871566669005,-0.27526168751245367,-1.0871400856794116,0.41712028255113925,0.3414052221156664
Philippines,2017,0.898913855,20.571,5.414918981,86645909126.0,1923917.7,20.17948483,9.312224376,1.508846659,328000000000.0,6.930988326,3038.12125,3206593.2,118000000000.0,59.141,5.584065613,1.288301867,108119693.0,8249852.0,500.0,26.516279445330554,18.49874943993083,8.018994593485031,15.925705818756011,19239177000.0,32065932000.0,0.22204368554806778,0.27174518644067797,0.2507018548238439,-0.25000931193811515,-0.4560554009591982,0.6359248932988381,0.17401088690877609,-0.5131699459541821,-0.9709063371547385,0.19473827417391135,0.23298099026534885
